"","ID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","x1_p","x2_p","x3_p","x4_p","x5_p","x6_p","x7_p","x8_p","x9_p","x10_p","x11_p","pred.asli","pred.disk","pred.asli1","pred.disk1"
"9052",9052,163,35424,30,0.701198882,1,13350,0.90258602,0,0,12,6,0,2,2,3,1,5,4,1,1,1,5,5,1,1,0,0
"1999",1999,11,33237,21,0.765478222,0.620105161,0,0,0,0,7.7,3.3,0,2,2,3,1,2,1,1,1,1,4,4,1,1,0,0
"30555",30555,129,23720,67,0.670905651,1,3608,0.839587047,50,2266,6.3,2.3,1,2,2,3,1,5,3,1,2,1,4,3,1,1,0,0
"18557",18557,6,2684,5,0.577380952,1,433,1,2008,29315,1.3,0.7,0,2,1,2,1,5,2,3,5,4,2,2,1,1,0,0
"32102",32102,103,21666,50,0.68613617,0.988699753,11486,0.968823836,0,423,10.7,2.3,0,2,2,3,1,4,4,2,1,1,5,3,1,1,0,0
"42747",42747,60,53537,82,0.762873199,0.893114249,17167,0.745268607,0,0,6.7,5,0,2,2,3,1,3,4,1,1,1,4,5,1,1,0,0
"32607",32607,1,2572,1,1,0.962962963,2092,0.727650728,492,40745,2.7,2,0,1,1,2,3,3,2,1,3,5,2,3,1,1,0,0
"31751",31751,999,106487,277,0.764940974,0.985466978,858,0.952380952,0,2969,30,6,0,2,5,3,1,4,2,2,1,1,5,5,1,1,0,0
"16768",16768,18,18537,32,0.757874888,0.996453901,3606,0.983739837,0,0,7,3.3,0,2,2,3,1,5,3,2,1,1,4,4,1,1,0,0
"26515",26515,0,1270,1,0.75,0.375,138,0.5,1067,59068,12,4,0,1,1,2,1,2,2,1,4,5,5,5,1,1,0,0
"19518",19518,59,15952,11,0.736842105,0.933333333,24878,0.977875763,0,0,10,2,0,2,2,3,1,3,4,2,1,1,5,3,1,1,0,0
"24847",24847,38,16027,43,0.703846795,0.959007676,9203,0.933979384,0,0,1,0.7,0,2,2,3,1,3,4,1,1,1,2,2,1,1,0,0
"6241",6241,252,46185,252,0.748679943,1,2644,1,0,5021,22.3,16,0,2,2,3,1,5,3,3,1,2,5,5,1,1,0,0
"20067",20067,112,118058,92,0.82474762,0.997222222,12906,0.99297671,6116,164768,11.3,4,1,2,5,3,2,5,4,2,6,6,5,5,1,1,0,0
"49624",49624,3,3530,7,0.748376623,0.683441558,12328,0.998771499,0,740,6,2,0,1,1,2,1,2,4,3,1,1,4,3,1,1,0,0
"41055",41055,556,32530,191,0.730783512,0.929918299,948,0.962013295,141,8674,9.3,6.3,0,2,2,3,1,3,2,2,3,2,5,5,1,1,0,0
"11780",11780,38,48737,51,0.770532567,0.994252874,472,1,0,2831,2,1.7,0,2,2,3,1,5,2,3,1,1,2,2,1,1,0,0
"16209",16209,4,11415,4,0.863095238,0.342532468,647,0.622222222,3092,178411,5.7,2.3,1,1,2,2,3,2,2,1,5,6,4,3,1,1,0,0
"1514",1514,33,11052,35,0.858339805,1,19233,0.999174918,0,0,5,3.7,0,2,2,3,3,5,4,3,1,1,3,5,1,1,0,0
"26935",26935,31,7565,18,0.609975296,1,2925,1,964,25574,4.7,3,0,2,1,3,1,5,3,3,4,3,3,4,1,1,0,0
"8450",8450,585,61980,143,0.812284899,0.998431373,22736,0.938965435,58,773,16.7,8.3,0,2,4,3,2,5,4,1,2,1,5,5,1,1,0,0
"40947",40947,0,3382,3,0.48015873,0.113095238,17883,0.272219703,0,1717,6.7,5,0,1,1,2,1,2,4,1,1,1,4,5,1,1,0,0
"47570",47570,4,2460,4,0.505847953,0.98245614,310,1,1918,31250,5.7,2.7,0,1,1,2,1,4,2,3,5,4,4,4,1,1,0,0
"25287",25287,336,21698,54,0.764175159,0.998073218,10831,1,0,90,18.3,8.7,0,2,2,3,1,5,4,3,1,1,5,5,1,1,0,0
"4202",4202,319,29586,61,0.686024872,0.996782902,614,0.838888889,1,2100,8.3,3.7,0,2,2,3,1,5,2,1,1,1,5,5,1,1,0,0
"27476",27476,145,23609,125,0.807284698,0.988007983,16900,0.942534317,0,0,3.3,2.3,1,2,2,3,2,4,4,1,1,1,2,3,1,1,0,0
"7963",7963,122,19838,68,0.797034931,0.991641372,8031,0.881330169,65,12880,12.3,7.7,0,2,2,3,2,4,4,1,2,2,5,5,1,1,0,0
"19816",19816,43,25066,20,0.712797619,0.748511905,6301,0.635848218,0,0,5,2.3,0,2,2,3,1,2,3,1,1,1,3,3,1,1,0,0
"14761",14761,5,9646,7,0.518099548,0.942182001,7206,0.986237488,1079,26889,5.3,4,0,2,2,2,1,3,3,2,4,3,3,5,1,1,0,0
"33240",33240,8,1743,2,0.75,1,5792,0.624848597,2846,36333,3,1.7,0,2,1,2,1,5,3,1,5,4,2,2,1,1,0,0
"14834",14834,64,38048,49,0.717517227,0.736965593,1633,0.943452381,0,0,9.7,3.7,0,2,2,3,1,2,2,1,1,1,5,5,1,1,0,0
"27619",27619,128,61167,117,0.736043192,0.998977505,5492,0.972222222,0,0,21.7,3,0,2,4,3,1,5,3,2,1,1,5,4,1,1,0,0
"41541",41541,0,767,1,1,1,842,1,895,38392,2.3,2,0,1,1,2,3,5,2,3,4,4,2,3,1,1,0,0
"44963",44963,2,2989,2,0.933333333,0.952380952,5369,0.965811966,0,23333,1.7,1.3,1,1,1,2,3,3,3,2,1,3,2,2,1,1,0,0
"48456",48456,173,48495,85,0.650879394,0.797130723,7806,0.37762816,0,0,13.3,7.3,0,2,2,3,1,2,4,1,1,1,5,5,1,1,0,0
"42802",42802,28,20813,11,0.696428571,0.749503968,12491,0.699401048,0,0,7.7,4.3,0,2,2,3,1,2,4,1,1,1,4,5,1,1,0,0
"6635",6635,13,18039,5,0.816666667,0.958333333,1964,0.972972973,0,0,3,2,0,2,2,2,2,3,2,2,1,1,2,3,1,1,0,0
"29090",29090,180,43355,31,0.62164751,0.968289978,6503,0.918679549,134,52570,3.3,2.7,0,2,2,3,1,4,3,1,3,5,2,4,2,1,1,0
"37134",37134,32,27266,17,0.811232011,0.863174863,5403,0.806291976,0,0,1.7,1.3,1,2,2,3,2,2,3,1,1,1,2,2,1,1,0,0
"24962",24962,477,106035,38,0.828310497,0.869058678,11028,0.349537917,1562,93355,11,3.3,1,2,5,3,2,2,4,1,4,6,5,4,1,1,0,0
"27003",27003,95,15183,76,0.691067585,0.993808398,1903,0.8921851,992,12940,4.3,2.7,1,2,2,3,1,5,2,1,4,2,3,4,1,1,0,0
"42930",42930,45,8472,18,0.67195586,0.99543379,2992,0.650463781,600,10556,5,3.7,0,2,1,3,1,5,3,1,3,2,3,5,1,1,0,0
"4987",4987,2,2848,4,0.841176471,1,18283,0.990663357,0,158,8.3,3.3,0,1,1,2,3,5,4,2,1,1,5,4,1,1,0,0
"13278",13278,96,17213,28,0.694557182,1,2022,0.817735891,812,15308,7.3,3.7,0,2,2,3,1,5,2,1,3,2,4,5,1,1,0,0
"29273",29273,6,11552,7,0.681944444,0.472222222,447,0.7,0,20,0.7,0.3,1,2,2,2,1,2,2,1,1,1,2,2,1,1,0,0
"13539",13539,226,53477,49,0.765071249,0.98304618,664,0.732854864,16823,112202,7,2.7,1,2,2,3,1,4,2,1,6,6,4,4,2,1,1,0
"7759",7759,23,16489,8,0.770388615,0.883004926,3703,0.783628278,1748,55254,7.7,3.3,0,2,2,3,1,3,3,1,5,5,4,4,1,1,0,0
"7918",7918,126,38306,51,0.762723911,0.975820513,4547,0.857051282,5059,59447,4,2.3,0,2,2,3,1,4,3,1,6,5,3,3,2,2,1,1
"25488",25488,165,41580,67,0.797524517,0.998639456,6222,1,0,0,8,4,0,2,2,3,2,5,3,3,1,1,5,5,1,1,0,0
